USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
999999,14751,HARRISBURG STATE ARPT,US,PA,KCXY,40.217,-76.851,105.8,19650101,19721231
999999,14754,TOBYHANNA,US,PA,7TB,41.183,-75.417,594.4,19480101,19481001
999999,14757,POUGHKEEPSIE DUTCHESS CO AP,US,NY,KPOU,41.627,-73.884,49.4,19490101,19550101
999999,14760,PARK PLACE 1 NW WB,US,PA,PKL,40.85,-76.117,591.0,19480101,19540610
999999,14761,PHILIPSBURG MID-STATE ARPT,US,PA,KPSB,40.9,-78.083,593.8,19480101,20041231
999999,14762,PITTSBURGH ALLEGHENY CO AP,US,PA,KAGC,40.355,-79.922,388.0,19450101,19520915
999999,14768,ROCHESTER MONROE CO ARPT,US,NY,KROC,43.117,-77.677,169.2,19480101,19721231
999999,14770,SELINSGROVE PENN VALLEY AP,US,PA,KSEG,40.821,-76.864,137.2,19490201,19550101
999999,14771,SYRACUSE MUNICIPL AP,US,NY,KSYR,43.111,-76.104,127.1,19650101,19721231
999999,14772,TICONDEROGA 3 NE,US,NY,,43.883,-73.4,64.0,19480101,19480915
999999,14774,UTICA CAA AP,US,NY,,43.167,-75.317,163.1,19490101,19501125
999999,14777,WILKES-BARRE SCRANTON AP,US,PA,KAVP,41.334,-75.727,293.2,19490101,19721231
999999,14778,WILLIAMSPORT-LYCOMING COUNTY,US,PA,KIPT,41.243,-76.922,160.0,19480701,19721231
999999,14780,LAKEHURST NAS,US,NJ,KNEL,40.033,-74.35,31.4,19450201,19721231
999999,14786,NEW YORK FLOYD BENNE,US,NY,NSC,40.583,-73.883,4.9,19450401,19701101
999999,14792,TRENTON MERCER COUNTY AP,US,NJ,KTTN,40.277,-74.816,64.9,19450220,19451001
999999,14793,WILLOW GROVE NAS,US,PA,KNXX,40.2,-75.15,110.3,19450201,19721201
999999,14797,BEAR MOUNTAIN WB,US,NY,,41.317,-74.0,396.8,19480101,19530515
999999,14812,MERCER WB AP,US,PA,,41.283,-80.2,394.1,19480101,19480915
999999,14860,ERIE INTERNATIONAL AP,US,PA,KERI,42.08,-80.183,224.6,19480101,19721231
999999,64756,MILLBROOK 3 W,US,NY,,41.786,-73.742,125.9,20041101,20210422
999999,64758,ITHACA 13 E,US,NY,,42.44,-76.246,374.3,20041027,20210422
999999,93730,ATLANTIC CITY INTL A,US,NJ,KACY,39.449,-74.567,20.4,19650101,19740228
999999,93732,NEW YORK SHOALS AFS,US,NY,,39.8,-72.667,25.9,19581001,19601116
999999,94704,DANSVILLE MUNI AP,US,NY,KDSV,42.571,-77.713,201.8,19490101,20001101
999999,94725,MASSENA AP,US,NY,KMSS,44.936,-74.846,65.2,19490201,19721231
999999,94728,NEW YORK CENTRAL PARK,US,NY,KNYC,40.779,-73.969,47.5,19650101,20120731
999999,94732,PHILADELPHIA NE PHILADELPHIA,US,PA,KPNE,40.082,-75.011,36.3,19490101,19590101
999999,94741,TETERBORO AIRPORT,US,NJ,KTEB,40.85,-74.061,2.1,19470101,19611001
999999,94745,WHITE PLAINS WESTCHESTER CO A,US,NY,KHPN,41.067,-73.708,121.0,19490101,19721231
999999,94789,NEW YORK FORT TOTTEN,US,NY,KJFK,40.639,-73.762,6.7,19480701,19721231
999999,94790,WATERTOWN AP,US,NY,KART,43.992,-76.022,101.5,19650101,19650101
999999,94794,UTICA ONEIDA COUNTY AP,US,NY,KUCA,43.145,-75.384,226.8,19501201,19550101
999999,94868,FRANKLIN,US,PA,KFKL,41.383,-79.867,469.1,19680101,19721231
A00030,93795,CONNELLSVILLE AIRPORT,US,PA,KVVS,39.959,-79.657,386.2,20210309,20210725
